,id,screen_name,followers_count,friends_count,favourites_count
410,741177384536268801,Jacek_Hecht,851,915,13853
411,3337602141,Cenckiewicz,86918,821,55190
412,2201086596,BarbaraBurdzy,4292,2318,4021
413,2450257087,walczak_mat,2595,1245,3924
414,1390775416760242179,MarPietraszek,1,60,1
415,4923120765,NZGoebbelsa,23965,508,10868
416,609081171,BacaPogorzelska,19574,3222,161303
417,365375828,IsraelinPoland,10786,775,2258
418,783749914505388037,T_Lator,65,333,8934
419,1360853556367142912,AmorcMarek,1,24,0
420,881084828187332608,tomekgajewski,39,394,678
421,280115337,mmpodgorski,914,3714,17713
422,703313117976072192,GSwiszcz,1399,218,790
423,2883024503,TMurgr,91,826,3816
424,30181014,hdagres,42931,1337,9257
425,934182724952260610,KasperKrasicki,841,685,34040
426,1460645503163584518,Rebekagoryl6666,0,6,0
427,498706052,AnnaClunes,3349,1533,776
428,1460646086855598087,MarlenaSz22,0,17,1
429,2532457735,alarm_pogodowy,16652,10,49
430,2863515755,wSensie,8489,473,1333
431,210005449,wojciechce,3384,373,2581
432,1415925738419724288,wojtek_tokarski,14,570,1374
433,1038166093,Hello_Marek,38,143,17
434,1345356631,BartekLechowski,268,914,6314
435,2803183338,tvn24rozmowa,12817,11,0
436,26792275,ForeignPolicy,1181710,938,1466
437,2400177146,CyprianJopek,1665,720,1349
438,471415514,ARomasze,21209,1064,29291
439,1460686909756293122,KurtRolson83,0,16,0
440,3004026063,mwpotocki,12296,4126,97471
441,1270683558538076160,SzymonPiasecki5,40,852,16782
442,939091,JoeBiden,31657969,48,20
443,807552114,muzzamu,4,86,7
444,1048191668002983936,PaweRomanowski4,363,888,6103
445,911150250286620673,kmpolsztyn,2196,137,2014
446,1372243091894243341,PRZMXKRL,0,75,0
447,1460657718407086089,Nina686245,0,8,0
448,1460666895259033609,LukaszM1978,0,79,0
449,795565567243653120,PawelGradek,257,1416,7312
450,1405914683299840002,PBPaszportu,963,641,690
451,1450563431921295365,Magdale48801301,0,11,0
452,1403339748,filozofmichalek,27,834,117
453,161051173,seaven92,48,425,64
454,852906367677595648,TOMAS8C,659,912,92267
455,980504802307297280,tomek_litwin,100,969,8608
456,1460669858396487686,Benio502,0,7,0
